author,clean_text
a,Dylan made his first trip to the United Kingdom from December 1962 to January 1963 .
a,He had been invited by TV director Philip Saville to appear in a drama
a,"in May 1963 , he had begun to make his name as a singer and a songwriter"
a,"Dylan 's topical songs enhanced his early reputation , and he came to be seen as more than just a songwriter ."
a,The rough edge of Dylan 's singing was unsettling to some but an attraction to others . 
a,attempting to shove a remote control into one 's asshole is pretty strange .
b,"when i was flying a lot and elite , it was typically a last minute upgrade to business/first because economy was overbooked ."
b,Concept work for Valkyria Chronicles III began after development finished on Valkyria Chronicles II in early 2010
b,Gerard became Archbishop of York in December 1100 . No source mentions him being invested by the king 
b,Gerard secured papal recognition of York 's metropolitan see for the Scots .
c,The episode featured an ensemble of family and friends of Gwen and Rhys previously unseen in the series 
d,"To block Bruges , Keyes and Lynes decided to conduct two raids on the ports through which Bruges had access to the sea ."
d,Zeebrugge was to be attacked by a large force consisting of three blockships and numerous supporting warships .
d,Ostend was faced by a similar but smaller force under immediate command of Lynes .
d,The plan was for two obsolete cruisers Ñ HMS Sirius and Brilliant Ñ to be expended in blocking the canal which emptied at Ostend .
d,These ships would be stripped to essential fittings and their lower holds and ballast filled with rubble and concrete . 
d,This would make them ideal barriers to access if sunk in the correct channel at the correct angle .
d,"When the weather was right , the force would cross the English Channel in darkness and attack shortly after midnight to coincide with the Zeebrugge Raid a few miles up the coast ."
e,"The New York Mets selected deGrom in the ninth round as a pitcher , with the 272nd overall selection"
e,where he made six starts before he was diagnosed with a partial tear of the ulnar collateral ligament
e,He received a promotion to the Las Vegas
f,Briggs was nominated to run for the governorship on the Whig ticket against the incumbent Democrat Marcus Morton in 1843 .
f,"Former Governor John Davis had been nominated first , but refused the nomination "
f,Briggs was apparently recommended as a compromise candidate acceptable to different factions within the party
f,"He was also probably chosen to appeal more directly to the state 's rural voters , a constituency that normally supported Morton ."
f,"The abolitionist Liberty Party also fielded a candidate , with the result that none of the candidates won the needed majority "
f,The legislature decided the election in those cases